file_path,readable,format,width,height,sha256,phash,duplicate_of,action,reason
data/results/result_annotated_001.png,true,PNG,1384,918,67ad400b5b5738212ff6b0c89c9de23d07c1686827dacbb57a266cc441924791,0099fea63fbc0c04,,keep,ok
data/results/result_annotated_002.png,true,PNG,1535,1024,9e2bca4b602af459022ef2b093f01f322f710872349dda1d24adfe3177ef26ca,00bdffc318181e04,,keep,ok
data/results/result_annotated_003.png,true,PNG,1535,1024,443c03669284fd72ed7d6bce7f7a1473c6df724e8d087972cdead90c09fe840d,0081db8347e7e6e6,,keep,ok
data/results/result_annotated_004.png,true,PNG,1536,1024,a303cff49bd1c0234611f4475a5df595ce0a90af86e766ef63b1eb3d404a5c03,18bd81876665e4c4,,keep,ok
data/results/result_annotated_005.png,true,PNG,1535,1024,5707418016a26edaea90da907f68940851f2ae0d062a9901bcda337675032334,0081db8347e7e6e6,data/results/result_annotated_003.png,review,possible_visual_duplicate
data/results/result_annotated_006.png,true,PNG,1536,1024,4631d7e7a101ec910b8e1540a8b48a87fd684fc195539e36828bee023d8790d6,18bd81876665e4c4,data/results/result_annotated_004.png,review,possible_visual_duplicate
data/results/result_annotated_007.png,true,PNG,1535,1024,96a705435b7a545ea1485ad41700dd7fa81b35e19db29351e9667e6b63180aa7,00bdffc318181e04,data/results/result_annotated_002.png,review,possible_visual_duplicate
data/results/result_annotated_008.png,true,PNG,1535,1024,9e2bca4b602af459022ef2b093f01f322f710872349dda1d24adfe3177ef26ca,00bdffc318181e04,data/results/result_annotated_002.png,exclude,exact_duplicate
data/results/result_annotated_009.png,true,PNG,1535,1024,ddb304472b9f8e2ace6bd6b6e038300893b8a84ef2d54b2f56c5a3253204a1db,0081db8347e7e6e6,data/results/result_annotated_003.png,review,possible_visual_duplicate
data/results/result_annotated_010.png,true,PNG,1384,918,79643939b9bfabfe7b826b05c5b7da15874626a96b9f060bc8f4eaa5e1dff907,0091fea63fbc0c04,data/results/result_annotated_001.png,review,possible_visual_duplicate
data/results/result_annotated_011.png,true,PNG,1535,1024,9e2bca4b602af459022ef2b093f01f322f710872349dda1d24adfe3177ef26ca,00bdffc318181e04,data/results/result_annotated_002.png,exclude,exact_duplicate
data/results/result_annotated_012.png,true,PNG,1535,1024,dc02b686d438d19c4a98b4f1bd498e1a2937f407f4c5579d4890b1fdfccd9dc7,0081db8347e7e6e6,data/results/result_annotated_003.png,review,possible_visual_duplicate
data/results/result_annotated_013.png,true,PNG,1535,1024,5707418016a26edaea90da907f68940851f2ae0d062a9901bcda337675032334,0081db8347e7e6e6,data/results/result_annotated_005.png,exclude,exact_duplicate
data/results/result_annotated_014.png,true,PNG,1535,1024,9e2bca4b602af459022ef2b093f01f322f710872349dda1d24adfe3177ef26ca,00bdffc318181e04,data/results/result_annotated_002.png,exclude,exact_duplicate
data/results/result_annotated_015.png,true,PNG,1384,918,79643939b9bfabfe7b826b05c5b7da15874626a96b9f060bc8f4eaa5e1dff907,0091fea63fbc0c04,data/results/result_annotated_010.png,exclude,exact_duplicate
data/results/result_annotated_016.png,true,PNG,1536,1024,4631d7e7a101ec910b8e1540a8b48a87fd684fc195539e36828bee023d8790d6,18bd81876665e4c4,data/results/result_annotated_006.png,exclude,exact_duplicate
data/results/result_annotated_017.png,true,PNG,1535,1024,5707418016a26edaea90da907f68940851f2ae0d062a9901bcda337675032334,0081db8347e7e6e6,data/results/result_annotated_005.png,exclude,exact_duplicate
data/results/result_annotated_018.png,true,PNG,1535,1024,9e2bca4b602af459022ef2b093f01f322f710872349dda1d24adfe3177ef26ca,00bdffc318181e04,data/results/result_annotated_002.png,exclude,exact_duplicate
data/results/result_annotated_019.png,true,PNG,1384,918,79643939b9bfabfe7b826b05c5b7da15874626a96b9f060bc8f4eaa5e1dff907,0091fea63fbc0c04,data/results/result_annotated_010.png,exclude,exact_duplicate
data/results/result_annotated_020.png,true,PNG,1536,1024,4631d7e7a101ec910b8e1540a8b48a87fd684fc195539e36828bee023d8790d6,18bd81876665e4c4,data/results/result_annotated_006.png,exclude,exact_duplicate
